galaxy,R_R25,SigmaHI_Msun_pc2,e_SigmaHI_Msun_pc2,SigmaSFR_Msun_yr_kpc2,e_SigmaSFR_stat_Msun_yr_kpc2,e_SigmaSFR_Msun_yr_kpc2
NGC7793,1.074342004001847,2.5673029756722663,0.1486111817902891,6.984215755250435e-05,7.0172152362164204e-06,3.5619138852147986e-05
NGC7793,1.1222102508850238,2.1254504282229227,0.10864007510795659,4.7190677146757165e-05,4.286489317819556e-06,2.3981534418467646e-05
NGC7793,1.1699245805756504,1.7425147804788796,0.089066738096652,3.924558884538682e-05,5.4571598031479606e-06,2.0367490126973953e-05
NGC7793,1.2176389102662768,1.4339564035392143,0.07119112610626199,2.950765115616905e-05,3.623318754496782e-06,1.519222853913241e-05
NGC7793,1.2653532399569032,1.105258980363255,0.053999684555784855,2.169074705081414e-05,1.6300395780004903e-06,1.0967185415203328e-05
NGC7793,1.3130675696475296,0.8442490648167112,0.043788035042329254,1.8450709534139357e-05,1.4282324169380145e-06,9.335256740716231e-06
NGC7793,1.3609358165307064,0.6517068526309494,0.037724774390897164,1.69722164624678e-05,2.210178985671803e-06,8.769203159975312e-06
NGC7793,1.408650146221333,0.5383264906263927,0.03397254301315017,1.7596440956292085e-05,4.677051722772933e-06,9.964110416869217e-06
NGC7793,1.4563644759119594,0.44333500736357273,0.029979220115032595,1.393534249606313e-05,3.4108249790693353e-06,7.75771678127586e-06
NGC7793,1.5042327227951362,0.37175895433309286,0.029874553324038045,9.275135468342338e-06,1.1249588434370878e-06,4.772061073420249e-06
NGC7793,1.5519470524857626,0.3310812914032633,0.031046906114430728,7.208470695348553e-06,9.170127235660704e-07,3.7190623518041176e-06
NGC7793,1.5996613821763892,0.30045385302046934,0.0297576800033576,8.112418126987296e-06,2.5090879106895316e-06,4.769523467846277e-06
NGC7793,1.6473757118670156,0.2714314274986767,0.028496915181272883,9.373362755368494e-06,3.4848829141725422e-06,5.84032458527983e-06
NGC7793,1.695090041557642,0.24246023562394156,0.029589851946179357,5.821470214513302e-06,1.8842030841558734e-06,3.467362128038964e-06
NGC7793,1.7428043712482684,0.19967642725632526,0.028366439983403546,3.37622493135939e-06,6.472917791011911e-07,1.8079575061585835e-06
NGC7793,1.7906726181314452,0.15506824645394648,0.02522691175811273,3.59651895006429e-06,7.911972447824519e-07,1.9646196119590754e-06
NGC7793,1.8383869478220718,0.11800364566698388,0.020396020845838213,4.221727486624077e-06,1.0928505751634972e-06,2.376987194425855e-06
NGC7793,1.8861012775126982,0.07428737845193603,0.012895910495881128,2.1658127948026147e-06,6.594580418896353e-07,1.2679003015007094e-06
NGC7793,1.933969524395875,0.04826809187583695,0.008518039054220345,1.0636466720846914e-06,3.3908625236161315e-07,6.307262062891103e-07
NGC7793,1.9789133446205942,0.03675864357057234,0.007340812691192217,1.7903633397331931e-06,9.402806582443145e-07,1.298259580489784e-06
